City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Hanno,JP,77.67,heavy intensity rain,35.8519,139.3181,Hotel Heritage Hanno
6,Gwadar,PK,80.62,overcast clouds,25.1216,62.3254,Sadaf Resort
9,Faanui,PF,78.06,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Butaritari,KI,82.22,few clouds,3.0707,172.7902,Isles Sunset Lodge
18,Bengkulu,ID,75.76,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Atuona,PF,76.87,light rain,-9.8,-139.0333,Villa Enata
26,Nanlong,CN,75.52,overcast clouds,31.3533,106.0631,Demei Hotel
29,Bucerias,MX,87.98,few clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
34,Frutal,BR,82.58,few clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
39,Nieuw Amsterdam,SR,84.22,light rain,5.8833,-55.0833,Globe Hotel
43,Avarua,CK,77.05,clear sky,-21.2078,-159.775,Paradise Inn
44,Sinnamary,GF,79.79,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
45,Katsuura,JP,78.91,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
50,Victoria,HK,83.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
51,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Mayo,US,77.38,moderate rain,38.8876,-76.5119,Resorts Resource Group International
54,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
56,Tamandare,BR,75.31,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
57,Izberbash,RU,78.85,clear sky,42.5696,47.8645,Ramina
60,Marsh Harbour,BS,84.22,clear sky,26.5412,-77.0636,Abaco Beach Resort
63,Parrita,CR,88.99,broken clouds,9.5201,-84.3225,Beso del Viento
65,Rincon De La Victoria,ES,89.6,clear sky,36.7172,-4.2758,Hotel Elimar
67,Salvador,SV,86.05,scattered clouds,13.8333,-88.9167,Chico's Ranch
69,Portland,US,85.57,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
74,Hithadhoo,MV,82.38,overcast clouds,-0.6,73.0833,Scoop Guest House
75,Komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
77,Pochutla,MX,85.05,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
78,Shelbyville,US,87.49,clear sky,35.4834,-86.4603,Best Western Shelbyville Inn And Suites Celebration Inn
79,Hengyang,CN,80.4,broken clouds,26.8881,112.615,Honglin Guesthouse
80,Cayenne,GF,85.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
81,Elizabeth City,US,81.01,overcast clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
84,Ponta Do Sol,PT,75.7,broken clouds,32.6667,-17.1,Hotel do Campo
87,The Valley,AI,85.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
89,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
94,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
104,Jiwani,PK,81.0,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
107,Izmit,TR,77.27,broken clouds,40.7669,29.9169,Seka Park Hotel
109,Dorado,PR,89.76,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
112,Hilo,US,81.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Carutapera,BR,79.11,broken clouds,-1.195,-46.02,Lidera
124,Teknaf,BD,78.75,broken clouds,20.8624,92.3058,Forestry Guesthouse
125,Jamestown,US,81.3,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
127,Bethel,US,86.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
128,Nantucket,US,82.96,clear sky,41.2835,-70.0995,Jared Coffin House
130,Myitkyina,MM,76.24,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
132,Olomouc,CZ,75.67,broken clouds,49.5955,17.2518,Hotel NH Collection Olomouc Congress
133,Hasaki,JP,79.2,heavy intensity rain,35.7333,140.8333,Hotel Sunrise Choshi
134,Sao Filipe,CV,79.2,scattered clouds,14.8961,-24.4956,Hotel Xaguate
135,Mantua,IT,80.1,broken clouds,45.1667,10.7833,Hotel la Favorita
139,Ahuimanu,US,83.91,few clouds,21.4447,-157.8378,Paradise Bay Resort
142,Surt,LY,82.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
144,Inirida,CO,83.71,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
147,Mumford,GH,76.37,light rain,5.2618,-0.759,Spanish Villa
149,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
155,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
158,Constantine,DZ,84.85,scattered clouds,36.365,6.6147,Grand Hotel Cirta
159,Lazaro Cardenas,MX,86.77,overcast clouds,17.9583,-102.2,quinta antigua
161,Summerside,CA,81.46,scattered clouds,46.3959,-63.7876,Summerside Motel & Cottages
162,Quibor,VE,85.51,overcast clouds,9.9287,-69.6201,Hostería Valle de Quibor
164,Thompson,CA,86.38,scattered clouds,55.7435,-97.8558,Burntwood Hotel
170,Bandarbeyla,SO,75.43,clear sky,9.4942,50.8122,JABIR HOTEL
175,State College,US,83.05,clear sky,40.7934,-77.86,Hampton Inn State College
176,Yenagoa,NG,75.58,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
188,Olopa,GT,80.08,scattered clouds,14.6833,-89.35,Eco Muro
189,Sola,VU,78.35,overcast clouds,-13.8833,167.55,Leumerus Bungalows
195,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
196,Diffa,NE,78.84,scattered clouds,13.3154,12.6113,ProDAF/Diffa
197,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
200,Morant Bay,JM,85.66,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
201,Turkan,AZ,77.18,clear sky,40.3639,50.215,Samir Зона Отдыха
203,Sirjan,IR,84.18,overcast clouds,29.452,55.6814,MAPNA Building
204,Storm Lake,US,83.35,clear sky,42.6411,-95.2097,King's Pointe Resort
205,Inyonga,TZ,75.4,overcast clouds,-6.7167,32.0667,Eden Rock Lodge
206,Makat,KZ,83.03,clear sky,47.6469,53.3463,Umit
209,Mount Pleasant,US,81.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
210,Dingle,PH,76.93,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
221,Puerto Carreno,CO,85.48,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
224,Raha,IN,78.3,overcast clouds,26.2333,92.5167,Bishnu Rajbingshi Rent House
225,Gushikawa,JP,78.39,heavy intensity rain,26.3544,127.8686,Kirari Guest House
229,Marsa Matruh,EG,80.08,clear sky,31.3525,27.2453,Beau Site
230,Timizart,DZ,78.01,scattered clouds,36.8,4.2667,yefssah restaurant
234,Seoul,KR,76.44,overcast clouds,37.5683,126.9778,롯데호텔 서울
236,Torbay,CA,75.58,overcast clouds,47.6666,-52.7314,Gallows Cove
237,Kutum,SD,76.86,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
241,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
243,Formosa,AR,89.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
244,Padang,ID,77.45,scattered clouds,-0.9492,100.3543,Mercure Padang
245,Sainte-Maxime,FR,77.76,overcast clouds,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
