City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Mataura,-46.1927,168.8643,35.47,99,100,0.94,NZ,overcast clouds
1,Pevek,69.7008,170.3133,41.58,76,24,4.74,RU,few clouds
2,Hanno,35.8519,139.3181,77.67,96,90,10.36,JP,heavy intensity rain
3,Aksha,50.2814,113.2867,53.46,94,5,4.36,RU,clear sky
4,Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,100,75,4.47,RU,broken clouds
5,Chipinge,-20.1883,32.6236,57.0,60,0,4.68,ZW,clear sky
6,Gwadar,25.1216,62.3254,80.62,85,99,5.66,PK,overcast clouds
7,Busselton,-33.65,115.3333,57.09,93,98,6.53,AU,light rain
8,Punta Arenas,-53.15,-70.9167,35.71,80,0,23.02,CL,clear sky
9,Faanui,-16.4833,-151.75,78.06,71,25,8.01,PF,scattered clouds
10,Tsiroanomandidy,-18.7667,46.0333,59.92,42,0,1.9,MG,clear sky
11,Butaritari,3.0707,172.7902,82.22,69,15,14.38,KI,few clouds
12,Sistranda,63.7256,8.834,67.96,66,95,19.6,NO,overcast clouds
13,Half Moon Bay,37.4636,-122.4286,91.06,66,1,1.99,US,clear sky
14,Yellowknife,62.456,-114.3525,62.37,73,100,12.75,CA,light rain
15,Pangnirtung,66.1451,-65.7125,42.67,81,100,3.76,CA,overcast clouds
16,Marawi,7.9986,124.2928,68.65,90,100,3.09,PH,overcast clouds
17,Parati,-23.2178,-44.7131,69.31,76,100,4.25,BR,overcast clouds
18,Bengkulu,-3.8004,102.2655,75.76,91,11,3.6,ID,few clouds
19,Aksarka,66.5606,67.7975,57.2,75,51,14.09,RU,broken clouds
20,Rocha,-34.4833,-54.3333,71.73,74,7,6.2,UY,clear sky
21,Kaeo,-35.1,173.7833,49.32,97,97,5.41,NZ,overcast clouds
22,Tazovskiy,67.4667,78.7,56.17,80,8,5.93,RU,clear sky
23,Khasan,42.4308,130.6434,68.77,91,0,5.01,RU,clear sky
24,Atuona,-9.8,-139.0333,76.87,83,88,16.15,PF,light rain
25,Khatanga,71.9667,102.5,50.22,68,73,8.37,RU,broken clouds
26,Nanlong,31.3533,106.0631,75.52,92,100,2.66,CN,overcast clouds
27,Rikitea,-23.1203,-134.9692,74.01,80,11,12.33,PF,few clouds
28,East London,-33.0153,27.9116,59.99,82,29,11.88,ZA,scattered clouds
29,Bucerias,20.75,-105.3333,87.98,70,20,9.22,MX,few clouds
30,Prince Rupert,54.3161,-130.3201,60.69,79,100,5.75,CA,overcast clouds
31,Edd,13.9297,41.6925,90.03,70,100,3.62,ER,overcast clouds
32,Lebu,-37.6167,-73.65,50.56,70,6,22.01,CL,clear sky
33,Chapais,49.7834,-74.8492,66.34,32,4,8.14,CA,clear sky
34,Frutal,-20.0247,-48.9406,82.58,25,12,5.77,BR,few clouds
35,Albany,42.6001,-73.9662,87.15,67,99,1.01,US,overcast clouds
36,Kaitangata,-46.2817,169.8464,36.84,85,100,1.99,NZ,overcast clouds
37,Chuy,-33.6971,-53.4616,67.73,75,9,5.41,UY,clear sky
38,Saint Anthony,45.0205,-93.218,73.54,91,90,3.0,US,overcast clouds
39,Nieuw Amsterdam,5.8833,-55.0833,84.22,77,40,9.22,SR,light rain
40,Kiama,-34.6833,150.8667,54.0,82,62,10.71,AU,broken clouds
41,Souillac,-20.5167,57.5167,70.36,79,0,10.36,MU,clear sky
42,Arraial Do Cabo,-22.9661,-42.0278,71.46,68,40,17.27,BR,scattered clouds
43,Avarua,-21.2078,-159.775,77.05,73,5,5.75,CK,clear sky
44,Sinnamary,5.3833,-52.95,79.79,86,99,6.06,GF,overcast clouds
45,Katsuura,35.1333,140.3,78.91,95,100,21.83,JP,heavy intensity rain
46,Maniitsoq,65.4167,-52.9,42.48,89,100,6.73,GL,light rain
47,Vaini,-21.2,-175.2,68.16,77,40,5.75,TO,scattered clouds
48,Puerto Ayora,-0.7393,-90.3518,73.54,82,85,7.0,EC,overcast clouds
49,Sayyan,15.1718,44.3244,64.65,53,62,9.44,YE,broken clouds
50,Victoria,22.2855,114.1577,83.97,88,100,8.57,HK,overcast clouds
51,Kapaa,22.0752,-159.319,84.52,65,20,1.99,US,few clouds
52,Mahebourg,-20.4081,57.7,70.25,76,19,11.25,MU,few clouds
53,Mayo,38.8876,-76.5119,77.38,92,75,5.99,US,moderate rain
54,Coahuayana,18.7333,-103.6833,85.48,63,82,6.96,MX,broken clouds
55,Ushuaia,-54.8,-68.3,29.86,93,90,33.38,AR,heavy snow
56,Tamandare,-8.7597,-35.1047,75.31,73,48,14.79,BR,scattered clouds
57,Izberbash,42.5696,47.8645,78.85,56,0,9.55,RU,clear sky
58,Santona,43.4439,-3.4576,67.06,83,17,8.14,ES,few clouds
59,Oxford,51.7522,-1.256,62.56,82,20,1.01,GB,few clouds
60,Marsh Harbour,26.5412,-77.0636,84.22,71,3,10.02,BS,clear sky
61,Panaba,21.2833,-88.2667,93.49,44,62,16.98,MX,broken clouds
62,Hervey Bay,-25.2986,152.8535,51.04,66,0,8.19,AU,clear sky
63,Parrita,9.5201,-84.3225,88.99,77,69,5.5,CR,broken clouds
64,Carnarvon,-24.8667,113.6333,66.27,90,40,8.05,AU,scattered clouds
65,Rincon De La Victoria,36.7172,-4.2758,89.6,37,0,11.03,ES,clear sky
66,Yeppoon,-23.1333,150.7333,46.18,88,1,5.59,AU,clear sky
67,Salvador,13.8333,-88.9167,86.05,51,25,2.21,SV,scattered clouds
68,Bisira,8.5196,-81.7115,65.21,89,99,2.08,PA,overcast clouds
69,Portland,45.5234,-122.6762,85.57,56,75,1.99,US,broken clouds
70,Ilulissat,69.2167,-51.1,42.69,70,100,7.83,GL,overcast clouds
71,Ous,60.9058,61.5186,54.73,98,100,8.41,RU,overcast clouds
72,Cape Town,-33.9258,18.4232,52.21,93,90,5.75,ZA,fog
73,New Norfolk,-42.7826,147.0587,34.92,85,99,2.68,AU,overcast clouds
74,Hithadhoo,-0.6,73.0833,82.38,73,100,10.38,MV,overcast clouds
75,Komsomolskiy,40.4272,71.7189,81.82,36,65,4.61,UZ,broken clouds
76,Port Alfred,-33.5906,26.891,59.45,85,67,14.34,ZA,broken clouds
77,Pochutla,15.7432,-96.4661,85.05,69,100,6.29,MX,overcast clouds
78,Shelbyville,35.4834,-86.4603,87.49,62,1,4.0,US,clear sky
79,Hengyang,26.8881,112.615,80.4,89,63,2.73,CN,broken clouds
80,Cayenne,4.9333,-52.3333,85.08,73,0,1.99,GF,clear sky
81,Elizabeth City,36.2946,-76.2511,81.01,89,90,1.99,US,overcast clouds
82,Dikson,73.5069,80.5464,49.55,72,11,3.74,RU,few clouds
83,Pangody,65.85,74.4859,64.78,55,0,6.51,RU,clear sky
84,Ponta Do Sol,32.6667,-17.1,75.7,82,75,6.29,PT,broken clouds
85,Mar Del Plata,-38.0023,-57.5575,60.82,55,20,8.05,AR,few clouds
86,Talnakh,69.4865,88.3972,55.18,60,10,3.96,RU,clear sky
87,The Valley,18.217,-63.0578,85.1,70,40,13.8,AI,scattered clouds
88,Hecun,36.5333,114.1111,74.37,85,39,2.37,CN,light rain
89,Meulaboh,4.1363,96.1285,76.96,88,99,5.53,ID,overcast clouds
90,Kalat,29.0225,66.5916,72.99,40,83,3.31,PK,broken clouds
91,Bluff,-46.6,168.3333,35.8,76,100,2.51,NZ,overcast clouds
92,Bredasdorp,-34.5322,20.0403,51.28,88,100,1.32,ZA,overcast clouds
93,Suntar,62.1444,117.6319,60.31,99,100,4.52,RU,overcast clouds
94,Saint-Georges,12.0564,-61.7485,85.68,66,40,18.41,GD,scattered clouds
95,Ribeira Grande,38.5167,-28.7,72.0,60,40,10.36,PT,scattered clouds
96,Castro,-24.7911,-50.0119,63.61,69,71,5.03,BR,broken clouds
97,Kodiak,57.79,-152.4072,56.71,72,90,9.22,US,light rain
98,Slavyanka,42.8633,131.3847,68.86,91,15,3.62,RU,few clouds
99,Novo Cruzeiro,-17.4681,-41.8753,60.67,82,100,5.1,BR,overcast clouds
100,College,64.8569,-147.8028,58.59,91,75,0.0,US,light rain
101,Port Macquarie,-31.4333,152.9167,49.96,85,3,9.22,AU,clear sky
102,Qaanaaq,77.484,-69.3632,41.61,75,98,1.66,GL,overcast clouds
103,Dolores,-36.3132,-57.6792,72.39,59,74,5.19,AR,broken clouds
104,Jiwani,25.05,61.7417,81.0,85,89,6.58,PK,overcast clouds
105,Airai,-8.9266,125.4092,52.88,66,23,2.73,TL,few clouds
106,Narsaq,60.9167,-46.05,50.22,94,100,9.51,GL,heavy intensity rain
107,Izmit,40.7669,29.9169,77.27,100,75,5.75,TR,broken clouds
108,Plettenberg Bay,-34.0527,23.3716,59.14,66,100,2.19,ZA,overcast clouds
109,Dorado,18.4588,-66.2677,89.76,71,40,13.8,PR,scattered clouds
110,Leshukonskoye,64.8989,45.7622,51.13,83,1,3.78,RU,clear sky
111,Fortuna,40.5982,-124.1573,70.93,77,1,3.0,US,clear sky
112,Hilo,19.7297,-155.09,81.25,73,75,10.36,US,broken clouds
113,Burgersdorp,-30.9977,26.3286,47.82,23,7,4.09,ZA,clear sky
114,Iqaluit,63.7506,-68.5145,41.31,87,100,10.51,CA,overcast clouds
115,Carutapera,-1.195,-46.02,79.11,85,83,6.89,BR,broken clouds
116,Shetpe,44.1667,52.1167,90.79,19,0,15.77,KZ,clear sky
117,Upernavik,72.7868,-56.1549,40.86,95,100,9.15,GL,overcast clouds
118,Yar-Sale,66.8333,70.8333,58.05,84,6,10.78,RU,clear sky
119,Merauke,-8.4667,140.3333,73.6,82,40,11.56,ID,scattered clouds
120,Quatre Cocos,-20.2078,57.7625,70.09,77,61,11.01,MU,light rain
121,Hobart,-42.8794,147.3294,35.26,88,75,3.0,AU,broken clouds
122,Kawambwa,-9.7915,29.0791,63.7,34,9,2.48,ZM,clear sky
123,Clyde River,70.4692,-68.5914,39.43,100,90,10.36,CA,light intensity drizzle
124,Teknaf,20.8624,92.3058,78.75,90,73,6.24,BD,broken clouds
125,Jamestown,42.097,-79.2353,81.3,75,75,1.99,US,broken clouds
126,Gao,16.6362,1.637,90.64,39,66,18.99,ML,broken clouds
127,Bethel,41.3712,-73.414,86.9,63,1,9.22,US,clear sky
128,Nantucket,41.2835,-70.0995,82.96,84,1,10.36,US,clear sky
129,Klaksvik,62.2266,-6.589,61.72,91,91,16.8,FO,overcast clouds
130,Myitkyina,25.3833,97.4,76.24,99,100,0.4,MM,overcast clouds
131,Tuktoyaktuk,69.4541,-133.0374,41.63,81,100,14.7,CA,overcast clouds
132,Olomouc,49.5955,17.2518,75.67,87,52,7.23,CZ,broken clouds
133,Hasaki,35.7333,140.8333,79.2,88,100,14.63,JP,heavy intensity rain
134,Sao Filipe,14.8961,-24.4956,79.2,80,47,5.97,CV,scattered clouds
135,Mantua,45.1667,10.7833,80.1,70,82,5.01,IT,broken clouds
136,Pingzhuang,42.0372,119.2889,66.06,80,10,3.49,CN,clear sky
137,Faya,18.3851,42.4509,63.12,66,36,2.21,SA,scattered clouds
138,Port Hedland,-20.3167,118.5667,64.45,32,21,9.22,AU,few clouds
139,Ahuimanu,21.4447,-157.8378,83.91,62,20,12.66,US,few clouds
140,Madang,-5.2246,145.7966,74.7,91,100,4.41,PG,overcast clouds
141,Geraldton,-28.7667,114.6,61.21,100,40,8.05,AU,scattered clouds
142,Surt,31.2089,16.5887,82.13,74,0,13.18,LY,clear sky
143,Saint-Joseph,-21.3667,55.6167,70.16,72,20,10.85,RE,few clouds
144,Inirida,3.8653,-67.9239,83.71,68,45,1.21,CO,scattered clouds
145,Orissaare,58.5592,23.0826,64.35,93,100,5.84,EE,overcast clouds
146,Constitucion,-35.3333,-72.4167,55.33,65,100,13.71,CL,overcast clouds
147,Mumford,5.2618,-0.759,76.37,85,61,17.74,GH,light rain
148,Port Elizabeth,-33.918,25.5701,57.92,88,100,9.04,ZA,overcast clouds
149,Hobyo,5.3505,48.5268,76.37,82,98,27.69,SO,overcast clouds
150,Gladstone,-23.85,151.25,49.93,87,0,5.75,AU,clear sky
151,Kysyl-Syr,63.8986,122.7617,63.19,56,66,13.49,RU,broken clouds
152,Cidreira,-30.1811,-50.2056,63.59,84,4,10.98,BR,clear sky
153,Saint-Pierre,-21.3393,55.4781,71.24,74,90,4.61,RE,overcast clouds
154,Cherskiy,68.75,161.3,54.91,50,81,4.61,RU,broken clouds
155,Kahului,20.8947,-156.47,84.22,66,20,21.85,US,few clouds
156,Luderitz,-26.6481,15.1594,59.11,61,42,2.55,NA,scattered clouds
157,Aldan,58.6031,125.3894,55.69,85,33,5.95,RU,scattered clouds
158,Constantine,36.365,6.6147,84.85,29,50,4.29,DZ,scattered clouds
159,Lazaro Cardenas,17.9583,-102.2,86.77,65,100,8.61,MX,overcast clouds
160,Saint-Philippe,-21.3585,55.7679,71.15,77,37,12.06,RE,scattered clouds
161,Summerside,46.3959,-63.7876,81.46,72,29,18.03,CA,scattered clouds
162,Quibor,9.9287,-69.6201,85.51,46,96,10.83,VE,overcast clouds
163,Nikolskoye,59.7035,30.7861,64.29,99,100,5.82,RU,light rain
164,Thompson,55.7435,-97.8558,86.38,31,35,11.32,CA,scattered clouds
165,Saint-Paul,-21.0096,55.2707,71.69,71,0,3.87,RE,clear sky
166,Barrow,71.2906,-156.7887,37.42,77,75,6.91,US,broken clouds
167,Juneau,58.3019,-134.4197,62.6,92,90,4.61,US,overcast clouds
168,Ancud,-41.8697,-73.8203,53.42,70,79,8.86,CL,broken clouds
169,Kruisfontein,-34.0033,24.7314,55.45,72,100,4.36,ZA,overcast clouds
170,Bandarbeyla,9.4942,50.8122,75.43,85,8,29.46,SO,clear sky
171,Isangel,-19.55,169.2667,69.48,74,86,6.13,VU,overcast clouds
172,Ostrovnoy,68.0531,39.5131,55.63,83,15,9.48,RU,few clouds
173,Biankouma,7.7391,-7.6138,72.59,70,84,1.86,CI,broken clouds
174,Henties Bay,-22.116,14.2845,55.85,78,5,7.72,NA,clear sky
175,State College,40.7934,-77.86,83.05,67,1,1.01,US,clear sky
176,Yenagoa,4.9247,6.2642,75.58,88,100,5.39,NG,overcast clouds
177,Malinyi,-8.9333,36.1333,68.34,58,4,3.06,TZ,clear sky
178,Nanortalik,60.1432,-45.2371,47.17,92,100,21.47,GL,moderate rain
179,Lasa,46.6166,10.7002,63.01,98,93,4.41,IT,light rain
180,Norman Wells,65.282,-126.8329,47.41,62,100,8.08,CA,overcast clouds
181,Hermanus,-34.4187,19.2345,51.91,74,92,1.12,ZA,overcast clouds
182,Batemans Bay,-35.7167,150.1833,48.9,82,99,5.39,AU,overcast clouds
183,Van Buren,35.4368,-94.3483,91.44,49,20,10.36,US,few clouds
184,Tongzi,28.7829,105.0877,75.83,96,100,2.62,CN,light rain
185,Rio Grande,-32.035,-52.0986,73.51,81,0,11.1,BR,clear sky
186,Jalu,29.0331,21.5482,91.38,28,0,14.61,LY,clear sky
187,Coquimbo,-29.9533,-71.3436,60.53,63,40,11.5,CL,scattered clouds
188,Olopa,14.6833,-89.35,80.08,54,40,6.91,GT,scattered clouds
189,Sola,-13.8833,167.55,78.35,77,89,20.67,VU,overcast clouds
190,Cabedelo,-6.9811,-34.8339,74.07,79,41,21.5,BR,scattered clouds
191,Aleksandrovsk-Sakhalinskiy,50.8975,142.1561,51.53,89,99,10.85,RU,overcast clouds
192,Yola,9.2,12.4833,74.98,86,100,1.59,NG,overcast clouds
