City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,North Bend,43.4065,-124.2243,58.91,97,90,4.61,US,2021-08-05 14:29:17
1,Fairbanks,64.8378,-147.7164,60.76,75,1,8.05,US,2021-08-05 14:25:05
2,Cape Town,-33.9258,18.4232,66.11,66,20,1.99,ZA,2021-08-05 14:29:18
3,Ushuaia,-54.8,-68.3,49.62,61,0,4.61,AR,2021-08-05 14:29:18
4,Hobart,-42.8794,147.3294,53.46,64,98,4.0,AU,2021-08-05 14:29:19
5,Sitka,57.0531,-135.33,57.09,82,75,6.91,US,2021-08-05 14:25:24
6,Sovetskiy,61.3614,63.5842,78.26,60,100,4.34,RU,2021-08-05 14:29:20
7,Mataura,-46.1927,168.8643,33.48,96,98,1.74,NZ,2021-08-05 14:29:20
8,Ilulissat,69.2167,-51.1,48.22,71,40,5.75,GL,2021-08-05 14:29:21
9,Jamestown,42.097,-79.2353,73.33,73,75,8.05,US,2021-08-05 14:29:21
10,Georgetown,5.4112,100.3354,83.89,80,20,0.0,MY,2021-08-05 14:29:21
11,Carnarvon,-24.8667,113.6333,53.67,36,0,10.36,AU,2021-08-05 14:29:22
12,Puerto Ayora,-0.7393,-90.3518,73.36,88,70,7.0,EC,2021-08-05 14:29:22
13,Rikitea,-23.1203,-134.9692,73.29,75,73,18.28,PF,2021-08-05 14:29:23
14,Nikolskoye,59.7035,30.7861,67.89,47,100,6.8,RU,2021-08-05 14:29:23
15,Mahebourg,-20.4081,57.7,70.25,68,40,11.5,MU,2021-08-05 14:29:23
16,Hasaki,35.7333,140.8333,77.4,88,50,3.78,JP,2021-08-05 14:29:24
17,Vaini,-21.2,-175.2,60.96,94,75,2.3,TO,2021-08-05 14:29:24
18,Salym,60.0625,71.4789,71.49,57,3,2.66,RU,2021-08-05 14:29:25
19,Bluff,-46.6,168.3333,33.8,83,69,4.41,NZ,2021-08-05 14:29:25
20,Flinders,-34.5833,150.8552,52.21,76,1,8.84,AU,2021-08-05 14:29:25
21,Busselton,-33.65,115.3333,47.08,79,0,6.62,AU,2021-08-05 14:29:26
22,Yellowknife,62.456,-114.3525,55.33,76,75,1.01,CA,2021-08-05 14:29:01
23,Madisonville,37.3281,-87.4989,77.22,63,5,1.5,US,2021-08-05 14:29:26
24,Kodiak,57.79,-152.4072,54.91,88,20,3.44,US,2021-08-05 14:29:27
25,Volksrust,-27.3654,29.8818,67.93,14,0,5.28,ZA,2021-08-05 14:29:27
26,Mar Del Plata,-38.0023,-57.5575,54.09,28,90,1.01,AR,2021-08-05 14:26:39
27,Avarua,-21.2078,-159.775,68.05,94,90,1.14,CK,2021-08-05 14:29:28
28,Allen,41.0706,-85.0144,75.56,71,20,3.44,US,2021-08-05 14:29:28
29,Coihaique,-45.5752,-72.0662,55.35,54,90,13.8,CL,2021-08-05 14:29:29
30,Bredasdorp,-34.5322,20.0403,65.28,59,93,6.91,ZA,2021-08-05 14:29:29
31,Wadi Maliz,36.4681,8.5495,98.26,22,0,10.58,TN,2021-08-05 14:29:30
32,Deputatskiy,69.3,139.9,39.27,93,100,7.14,RU,2021-08-05 14:29:30
33,Punta Arenas,-53.15,-70.9167,50.02,65,0,14.97,CL,2021-08-05 14:29:30
34,Tuktoyaktuk,69.4541,-133.0374,53.6,82,40,6.91,CA,2021-08-05 14:29:31
35,Veraval,20.9,70.3667,82.38,81,100,16.24,IN,2021-08-05 14:29:31
36,Hilo,19.7297,-155.09,72.81,81,90,6.91,US,2021-08-05 14:26:47
37,Makakilo City,21.3469,-158.0858,77.32,73,40,5.75,US,2021-08-05 14:29:32
38,Pryozerne,45.2698,36.3303,87.12,43,9,10.85,UA,2021-08-05 14:29:32
39,Barrow,71.2906,-156.7887,46.42,94,90,12.66,US,2021-08-05 14:29:33
40,Pemba,-12.974,40.5178,77.7,78,20,13.8,MZ,2021-08-05 14:29:33
41,Clyde River,70.4692,-68.5914,37.63,100,90,10.36,CA,2021-08-05 14:29:34
42,Faanui,-16.4833,-151.75,78.85,72,25,10.07,PF,2021-08-05 14:29:34
43,Ostersund,63.1792,14.6357,70.61,40,0,11.5,SE,2021-08-05 14:29:34
44,Nanortalik,60.1432,-45.2371,46.62,86,77,8.48,GL,2021-08-05 14:29:35
45,Galesong,-5.3166,119.3661,77.02,75,100,6.31,ID,2021-08-05 14:29:35
46,Lompoc,34.6391,-120.4579,66.78,87,90,0.0,US,2021-08-05 14:27:00
47,Tateyama,34.9833,139.8667,79.14,82,11,6.91,JP,2021-08-05 14:29:36
48,Antalaha,-14.9003,50.2788,69.84,87,80,13.18,MG,2021-08-05 14:29:36
49,Broome,42.2506,-75.833,75.16,74,1,1.99,US,2021-08-05 14:29:37
50,Kapaa,22.0752,-159.319,79.12,78,20,3.0,US,2021-08-05 14:29:37
51,Havre-Saint-Pierre,50.2334,-63.5986,66.56,72,1,5.75,CA,2021-08-05 14:29:38
52,Khuzdar,27.7384,66.6434,97.2,9,0,11.32,PK,2021-08-05 14:29:38
53,East London,-33.0153,27.9116,68.94,73,0,10.36,ZA,2021-08-05 14:29:39
54,Gat,31.61,34.7642,98.4,21,0,12.17,IL,2021-08-05 14:28:02
55,Nome,64.5011,-165.4064,55.47,88,90,8.05,US,2021-08-05 14:25:09
56,Hermanus,-34.4187,19.2345,68.9,76,57,12.62,ZA,2021-08-05 14:29:40
57,Tatawin,32.9297,10.4518,115.68,15,1,9.51,TN,2021-08-05 14:29:40
58,Emba,48.8264,58.1442,97.7,14,98,13.04,KZ,2021-08-05 14:29:41
59,Oxford,51.7522,-1.256,66.47,88,75,1.01,GB,2021-08-05 14:25:59
60,Coahuayana,18.7333,-103.6833,80.08,94,100,2.3,MX,2021-08-05 14:29:41
61,Khamanon,30.8186,76.3508,89.8,64,98,5.08,IN,2021-08-05 14:29:42
62,Port Alfred,-33.5906,26.891,65.61,88,76,7.78,ZA,2021-08-05 14:29:42
63,Buarcos,40.166,-8.8768,88.11,75,52,10.58,PT,2021-08-05 14:29:43
64,Crotone,39.0851,17.1178,91.35,48,0,14.97,IT,2021-08-05 14:29:43
65,Jalu,29.0331,21.5482,109.4,10,0,12.28,LY,2021-08-05 14:29:43
66,Naze,28.3667,129.4833,77.31,94,100,36.66,JP,2021-08-05 14:29:44
67,Bethel,41.3712,-73.414,70.72,83,90,5.75,US,2021-08-05 14:29:44
68,North Las Vegas,36.1989,-115.1175,97.2,20,1,6.91,US,2021-08-05 14:28:59
69,Richards Bay,-28.783,32.0377,76.39,52,0,11.21,ZA,2021-08-05 14:29:45
70,Thompson,55.7435,-97.8558,48.36,87,75,0.0,CA,2021-08-05 14:29:45
71,La Asuncion,11.0333,-63.8628,83.93,74,0,10.36,VE,2021-08-05 14:29:46
72,Atuona,-9.8,-139.0333,77.11,76,11,12.77,PF,2021-08-05 14:29:46
73,Amga,60.8953,131.9608,58.03,57,41,2.24,RU,2021-08-05 14:29:46
